x	y	hex_location	travel_regions	connected_regions	landmass	terrain	feature	natural_wonder_order	continent	number_of_units	resource	resource_boolean	improvement	improvement_owner	road	appeal	river_e	river_se	river_sw	river_count	river_map	cliff_map	flags1	flags2	flags3	overlayNum	buffer	city_1	city_2	district	owner	world_wonder	tile_length
0	0	2712004	65536	65536	65536	1743422479	4294967295	0	561861691	0	4294967295	0	1434118760	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	1	"01000000754ca3d90a000000000000050000000000000000"	""	""	""	""	""	79
1	0	2712083	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
2	0	2712138	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
3	0	2712193	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	2790735626	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
4	0	2712248	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
5	0	2712303	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
6	0	2712358	65536	65536	131073	1743422479	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
7	0	2712413	65536	65536	131073	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
8	0	2712468	196610	65536	4294967295	699483892	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
9	0	2712523	196610	65536	4294967295	699483892	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
10	0	2712578	196610	65536	4294967295	699483892	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
11	0	2712633	65536	65536	196610	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
12	0	2712688	262147	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
13	0	2712743	262147	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
14	0	2712798	65536	65536	262147	3842183808	4294967295	0	744451326	1	4294967295	0	3727362748	63	-1	0	-1	-1	-1	0	0	0	0	0	0	1	"01000000754ca3d90a000000000000050000000000000000"	""	""	""	""	""	79
15	0	2712877	65536	65536	262147	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
16	0	2712932	65536	65536	262147	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
17	0	2712987	327684	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
18	0	2713042	327684	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
19	0	2713097	65536	65536	327684	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
20	0	2713152	65536	65536	327684	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
21	0	2713207	65536	65536	327684	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
22	0	2713262	65536	65536	327684	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
23	0	2713317	65536	65536	327684	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
24	0	2713372	65536	65536	327684	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
25	0	2713427	65536	65536	327684	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
26	0	2713482	393221	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
27	0	2713537	65536	65536	393221	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	3	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
28	0	2713592	458758	196610	4294967295	1248885265	4294967295	0	744451326	0	673592983	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
29	0	2713647	458758	196610	4294967295	1248885265	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
30	0	2713702	65536	65536	458758	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	2	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
31	0	2713757	524295	262147	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
32	0	2713836	524295	262147	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
33	0	2713915	524295	262147	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
34	0	2713994	524295	262147	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
35	0	2714073	524295	262147	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
36	0	2714152	524295	262147	4294967295	1204357597	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
37	0	2714231	524295	262147	4294967295	1204357597	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
38	0	2714310	524295	262147	4294967295	1204357597	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
39	0	2714389	524295	262147	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
40	0	2714468	65536	65536	524295	3842183808	4294967295	0	744451326	0	332101523	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
41	0	2714523	65536	65536	524295	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
42	0	2714578	65536	65536	524295	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	0	-1	-1	1	2	0	64	0	0	0	""	""	""	""	""	""	55
43	0	2714633	65536	65536	524295	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	2	48	0	0	0	0	0	""	""	""	""	""	""	55
44	0	2714688	65536	65536	524295	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
45	0	2714743	589832	327684	4294967295	1248885265	4294967295	0	744451326	0	915726565	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
46	0	2714798	65536	65536	524295	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
47	0	2714853	65536	65536	524295	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
48	0	2714908	65536	65536	524295	3842183808	4294967295	0	744451326	0	4294967295	0	3727362748	63	-1	0	-1	-1	-1	0	0	0	0	0	0	1	"01000000754ca3d90a000000000000050000000000000000"	""	""	""	""	""	79
49	0	2714987	655369	393221	4294967295	1248885265	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
50	0	2715042	65536	65536	589832	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
51	0	2715097	65536	65536	589832	1743422479	4294967295	0	744451326	0	2790735626	1	4294967295	-1	-1	0	0	-1	-1	2	3	0	64	0	0	0	""	""	""	""	""	""	55
52	0	2715152	65536	65536	589832	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	1	16	0	0	0	0	0	""	""	""	""	""	""	55
53	0	2715207	65536	65536	589832	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
54	0	2715262	65536	65536	589832	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
55	0	2715317	720906	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
56	0	2715372	65536	65536	589832	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
57	0	2715427	786443	458758	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
58	0	2715506	786443	458758	4294967295	1204357597	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
59	0	2715585	786443	458758	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
60	0	2715664	786443	458758	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
61	0	2715743	786443	458758	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
62	0	2715822	851980	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
63	0	2715877	851980	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
64	0	2715932	65536	65536	655369	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
65	0	2715987	65536	65536	655369	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
66	0	2716042	65536	65536	655369	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
67	0	2716097	65536	65536	655369	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
68	0	2716152	65536	65536	655369	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	0	-1	-1	1	2	0	64	0	0	0	""	""	""	""	""	""	55
69	0	2716207	65536	65536	655369	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	2	48	0	0	0	0	0	""	""	""	""	""	""	55
70	0	2716262	65536	65536	655369	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
71	0	2716317	65536	65536	655369	1743422479	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
72	0	2716372	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
73	0	2716451	917517	524295	4294967295	1204357597	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
74	0	2716530	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
75	0	2716609	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
76	0	2716688	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
77	0	2716767	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
78	0	2716846	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
79	0	2716925	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
80	0	2717004	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
81	0	2717083	917517	524295	4294967295	1248885265	1542194068	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	1	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
82	0	2717162	65536	65536	720906	1743422479	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
83	0	2717217	65536	65536	720906	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
0	1	2717272	983054	65536	4294967295	699483892	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	1	1	0	0	32	0	0	""	""	""	""	""	""	55
1	1	2717327	65536	65536	786443	1743422479	4294967295	0	561861691	0	2790735626	1	4294967295	-1	-1	0	3	-1	-1	3	35	0	64	0	0	0	""	""	""	""	""	""	55
2	1	2717382	65536	65536	786443	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	1	16	0	0	0	0	0	""	""	""	""	""	""	55
3	1	2717437	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
4	1	2717492	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
5	1	2717547	131073	131073	4294967295	1248885265	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
6	1	2717602	65536	65536	131073	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
7	1	2717657	65536	65536	131073	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
8	1	2717712	65536	65536	131073	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
9	1	2717767	65536	65536	131073	3842183808	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
10	1	2717822	65536	65536	196610	1743422479	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
11	1	2717877	65536	65536	196610	1743422479	4294967295	0	561861691	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
12	1	2717932	65536	65536	851980	3842183808	1555056577	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	1	"0100000005b3952f0a000000000000050000000000000000"	""	""	""	""	""	79
13	1	2718011	65536	65536	262147	3842183808	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	""	""	""	""	""	""	55
14	1	2718066	1048591	65536	4294967295	699483892	4294967295	0	744451326	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	""	""	""	""	""	""	55
